Country,International Openness,Air transport infrastructure,Ground and port infrastructure,Tourist service infrastructure,Prioritization of Travel & Tourism,Natural and cultural resources ,Environmental sustainability,Price competitiveness,Safety and security,TTCI
Albania,2.419152295,2.10050314,3.112500226,4.013682502,5.034408248,2.041350437,4.304464361,5.256247884,5.773219543,3.584591786
Algeria,1.49089122,2.215074397,2.845077263,1.837652209,3.126325857,2.080586839,3.528609466,6.156184601,5.63403575,3.147668774
Angola,1.946017093,1.733954522,1.952098978,2.747833889,3.246449572,1.703908032,4.101261596,5.347263782,5.014029001,2.736679651
Argentina,3.056051296,3.086883422,2.659057309,4.530439482,4.64414425,4.322163907,3.425135371,4.903933126,5.109572237,4.152215213
Armenia,3.210111892,2.393533217,2.834325188,4.328851106,4.676645673,1.981023783,4.039613252,5.747163602,5.826565006,3.709647232
Australia,4.881646656,6.045836724,3.583380519,6.055062862,5.273553745,4.940851356,4.397621736,4.434409659,6.096639688,5.141493299
Austria,4.010096942,4.201235734,5.224992761,6.659389402,5.337420398,3.647526855,5.68083817,4.691823449,6.192677311,4.953801726
Azerbaijan,3.081870908,2.588488087,3.932661188,3.165733863,4.992545345,2.021793884,4.076204966,5.866495978,5.850657662,3.799250125
Bahrain,2.854540779,3.487750801,5.205730766,4.563830568,4.490846265,1.4381655,4.137096265,5.787673121,5.920535904,3.906913836
Bangladesh,2.451692843,2.03168648,3.486230893,1.947936389,3.575747039,1.962586398,3.816915039,5.302550043,4.868039372,3.10036516
Barbados,,,,,,,,,,
Belgium,4.146379274,4.087353761,5.459755525,5.19669553,4.405902917,3.114306874,4.805777795,4.763731691,5.652852258,4.547143142
Benin,2.877127113,1.712084014,2.262974676,2.511450645,3.526840663,2.01141423,4.259127159,5.097428194,5.446284273,3.021217714
Bhutan,,,,,,,,,,
Bolivia,3.243562621,2.231664456,2.103285861,3.340095614,3.703375172,3.070016262,4.221201226,5.545887175,5.236783095,3.495864586
Bosnia and Herzegovina,2.40848131,2.033622005,2.35089182,3.941564504,4.055496038,1.695471253,4.284131788,5.457364273,5.394282751,3.281331842
Botswana,2.251734804,2.124474752,2.764367625,3.637551867,4.800339252,2.339128562,4.347225703,6.041633513,5.272342753,3.477191199
Brazil,2.956900059,3.699320018,2.439539568,4.472979809,4.04038753,5.602309196,4.271086229,5.440014811,4.332060019,4.456420855
Brunei Darussalam,3.720882577,3.300854095,3.808554009,3.991872396,3.439593204,1.71967833,4.083350889,6.560571876,6.075132804,3.783416987
Bulgaria,3.888568035,2.709687855,3.207176463,5.951313775,4.728101659,2.885855524,4.84575513,5.650625594,5.18542103,4.21129351
Burkina Faso,1.618650907,1.576833308,2.236156518,2.280006655,3.204493487,1.898558897,4.200466971,5.483063473,4.79040265,2.7798752
Burundi,1.791492364,1.693653496,2.538112866,1.654035374,2.807122193,1.602669271,4.112933411,5.371657173,4.774062094,2.660354258
Cambodia,3.486495894,2.330237315,2.496469423,3.242255185,5.029371072,2.287987276,3.375447045,5.610942256,5.088904845,3.394182658
Cameroon,1.795628817,1.680974157,2.486661073,2.199164796,2.994698301,2.205400303,4.392661684,4.952890554,4.676065746,2.897849041
Canada,3.647116182,6.635441651,3.875387165,6.07889868,5.069889031,4.395852792,4.89833379,4.918977306,6.064718239,5.051292925
Cape Verde,3.152977767,3.503148194,3.103560932,4.193900967,4.715855853,1.528692228,4.464175484,5.723950155,5.189278849,3.55075797
Chad,1.675908285,1.5434908,1.919653103,1.789322631,3.247178621,1.844756661,4.191362961,4.751370334,4.176364975,2.523215555
Chile,4.67329918,3.063222037,3.441558695,4.313115518,4.690265573,2.793879278,4.231295665,5.598642161,5.720507419,4.100126474
China,3.113922668,4.345688423,3.858986642,3.514214799,4.750202297,6.053250195,3.772688391,5.669237055,5.607297836,4.87585835
Colombia,4.621379038,3.018244134,2.524734852,3.819671904,4.08972045,3.810783638,4.384892778,5.783300564,3.773129849,4.008779807
"Congo, Democratic Rep.",1.509130151,1.624619488,1.969911988,1.949655185,1.881374163,2.625206715,3.869107742,4.801338433,4.413026666,2.675020551
Costa Rica,4.25148286,3.071243341,2.977963367,5.365524315,5.561572884,3.237792275,4.889300902,5.097589252,5.402582417,4.268189495
C?te d'Ivoire,2.635067169,2.068333862,2.787570497,2.64303341,2.558034471,2.310045816,4.115520639,5.10642642,4.560133496,3.114040444
Croatia,4.16168092,3.609615917,3.861991816,6.484635115,4.867206722,3.602695484,5.098785517,5.047400849,5.871982197,4.525832718
Cyprus,3.768049718,3.733347454,4.446750816,5.652942453,6.153161089,2.077978307,3.912582493,4.834459159,5.907502995,4.216212817
Czech Republic,4.168070312,3.35750314,4.943184841,5.209540644,4.317658231,2.480640522,5.007160242,5.371316891,6.101814492,4.326665731
Denmark,4.359471632,4.470065956,5.334184458,4.817092304,4.713493451,2.834120125,5.392227555,4.400764916,5.808315101,4.58106809
Dominican Republic,3.294190527,3.012969559,3.630151493,4.82463938,6.032343503,2.223771962,4.118067866,5.020406432,4.727654982,3.775340422
Ecuador,4.033636083,2.433912507,3.538002844,4.029157219,4.524594092,2.981600763,4.26696796,5.543840311,5.245452298,3.864455919
Egypt,2.206382487,3.289592358,3.402937871,3.220561747,5.153134893,3.112865887,4.682761917,6.46184893,4.768898496,3.897272612
El Salvador,4.566211776,2.073884734,2.873762122,3.082773394,4.254526732,1.742949669,3.813213719,5.736815167,2.974124074,3.232051524
Estonia,3.671753546,2.473478211,4.473773304,5.407286808,5.429566805,1.978402318,5.18191902,5.40404267,6.238792483,4.196084284
Ethiopia,2.569275528,2.217993526,2.386601783,1.732285453,3.769554197,2.318327398,4.072081834,5.546348013,5.091265218,3.023932202
Finland,4.120248263,4.880701804,4.531901283,4.65818353,4.980846169,2.469903052,5.596788016,4.671166147,6.700305427,4.518301059
France,4.242757205,4.846514574,5.556915809,5.690380646,5.106938214,5.863085418,5.27068661,4.525440789,5.654785076,5.403228438
Gabon,,,,,,,,,,
"Gambia, The",2.25967695,2.015674062,3.310758082,2.64324676,5.09274305,1.720877574,4.367728741,5.279710314,5.697773623,3.227794923
Georgia,3.417311097,2.507235929,3.236254133,4.888876177,5.204530438,1.950002308,4.249636981,5.71770692,5.983392078,3.87630245
Germany,4.258547156,4.867634158,5.739918507,5.948770011,5.022537334,5.262061036,5.337922405,4.606342777,5.815500302,5.388195332
Ghana,2.954381029,1.979008769,2.599466671,2.314233828,3.810095324,1.919293688,4.135682724,4.979634639,5.515227974,3.148888862
Greece,4.108211692,4.772372775,3.848756318,5.750487024,5.626602414,3.423516805,4.535514252,4.863980584,5.584866207,4.545383911
